z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,1.687922098140909,1.5264084075397815e-19,300.0,0.6516888434670943,-1.1451909005422452e-15,2.218215877501748e-15,2.828421853348031e-21,-3.397443444154791e-22,-2.465398122052221e-16,-6.550440207346853e-18,4.107126324623358e-21,-1.5615652982030583e-16,-9.570905533372568e-16,-7.168501753491256e-16,4.470132355779075e-17,2.3721756402624026e-15,1.126840059420414e-16,0.9999999999999989,-6.303215337087112e-20,-3.118213442876308e-20,1.4072365375653893e-23,1.1860634722265244e-16,1.0951301128539424e-28,2.087697969717625e-19,6.914056410791304e-16,1.0343980242036531e-21,-1.1092300472630545e-16,-9.672900490323483e-16,-2.2415908969335074e-17,1.268401803357578e-20,-8.542903934681238e-20,3.48910004572216e-21,4.566435225451595e-16,-9.048833278096964e-18,-6.388251031457207e-16,6.232576988728028e-16,4.813004257691331e-19,-2.5699016625845452e-17,-9.778951582354261e-44,-4.882624339618708e-16,4.3477309431615004e-17,-3.720233041939494e-16,9.712434808014953e-17,-2.6923577046514183e-22,5.492679520364268e-16,-5.165037822094027e-20,-3.4480842632236927e-16,1.7540336305661976e-18,-4.2169799099989973e-16,-3.673739098060762e-21,-3.6875729827707446e-24,7.722482220177376e-19,-3.3754554980275408e-18,-1.6350548782505643e-23,2.4872897740605873e-16,-2.6901784633485567e-20,1.475240530301572e-18
0.0005,1.6802295295940954,15.385137093607423,299.9999999999983,0.6516888434670981,-1.1055851113365597e-15,1.5516713913388318e-15,-1.0015693856070025e-21,-3.396662243790052e-22,-4.2443894913111956e-18,-2.5168063554719225e-16,4.1071264343187666e-21,-1.5617043905487813e-16,-9.570905537368235e-16,-1.0298815451222825e-21,4.4588514324517675e-17,4.845870023895827e-21,4.246715301637488e-15,0.9999999999999979,-6.302711625849441e-20,-3.118213444640024e-20,1.4071405239522678e-23,1.1860634714123228e-16,3.9720393001707343e-28,2.0875642724347436e-19,6.91405655206035e-16,1.0343828008395949e-21,-1.1092300337893317e-16,-5.895734051195319e-16,-1.1324211329857464e-15,1.2683986231790077e-20,-3.730832946342858e-18,3.4840303180826584e-21,4.566435220646804e-16,-9.048833271199693e-18,-6.388251054820662e-16,6.232577042475169e-16,4.812991157666052e-19,-2.5699016552658053e-17,-3.821225809944475e-42,-4.8826243383097285e-16,4.347730950944097e-17,-3.7202330391814617e-16,9.71243473814957e-17,-2.692542349280001e-22,5.492679527112612e-16,-5.1649629506037644e-20,-3.4480842384500973e-16,1.7540336359533676e-18,-4.216979913181567e-16,-3.67374096023109e-21,-3.687573004413634e-24,7.722442593281822e-19,-3.375455511785564e-18,-1.6350518814971703e-23,2.487289774081634e-16,-2.6901332318312105e-20,1.475240542302092e-18
0.001,1.6571518239536835,30.77027418721587,299.99999999999807,0.6516888434670982,-6.639566465470351e-16,1.5446407678667076e-15,-1.031948553987417e-21,-3.39580573781668e-22,-7.212183206238935e-20,-2.5590243249529e-16,4.107126427726678e-21,-1.5617067867588803e-16,-9.570905539173062e-16,-1.460295617108352e-27,4.447439463734031e-17,9.766847616118495e-27,4.020269122737776e-15,0.9999999999999976,-6.302199561483383e-20,-3.1182134261793865e-20,1.407158542187228e-23,1.18606347061729e-16,5.113323600626617e-28,2.0874286951076263e-19,6.914056694958478e-16,1.0343674022858483e-21,-1.1092300249925463e-16,-3.5742267641188654e-16,-1.3646305428679296e-15,1.2683956833160577e-20,-7.456494096201397e-18,3.478943805444942e-21,4.566435215782458e-16,-9.048833264455963e-18,-6.388251071204476e-16,6.232577096030786e-16,4.812978147727395e-19,-2.5699016480863523e-17,-3.75790528886001e-42,-4.882624336934106e-16,4.347730958645849e-17,-3.720233036503006e-16,9.712434668494433e-17,-2.692729614308917e-22,5.492679532766922e-16,-5.164944652177891e-20,-3.4480842137584236e-16,1.7540336411835015e-18,-4.216979916272227e-16,-3.673742813221264e-21,-3.687572967931087e-24,7.722411748206062e-19,-3.3754555185583446e-18,-1.6350518868858048e-23,2.487289774102046e-16,-2.690087313224754e-20,1.4752405541400032e-18
0.0015,1.6186889812196696,46.15541128082604,299.99999999999795,0.6516888434670955,4.69125733354145e-15,1.5375443112704417e-15,-9.9728718938685e-22,-3.3907347753864615e-22,-1.1991752158179621e-21,-2.5597423599071604e-16,4.107126432958731e-21,-1.5617068282374902e-16,-9.570905540538397e-16,-1.8706418610690612e-31,4.4357831869428045e-17,1.924690895358945e-32,3.888514813940087e-15,0.9999999999999926,-6.301445795454648e-20,-3.118212414560883e-20,1.4071785878703656e-23,1.186063469788874e-16,6.237523407588219e-28,2.087289873932532e-19,6.914056841411209e-16,1.0343516752907331e-21,-1.1092300188061229e-16,-2.146953473537166e-16,-1.5073943337948452e-15,1.2683923806203885e-20,-1.1832682115743989e-17,3.473792358434362e-21,4.56643521079208e-16,-9.04883325752422e-18,-6.38825108623193e-16,6.232577151198396e-16,4.812964714327081e-19,-2.5699016406043132e-17,-3.693299875001247e-42,-4.882624335507629e-16,4.3477309663515335e-17,-3.7202330337137144e-16,9.712434596583396e-17,-2.692921386339486e-22,5.492679538393217e-16,-5.1649431742971863e-20,-3.4480841891074245e-16,1.7540336466311558e-18,-4.216979919491244e-16,-3.673744672246958e-21,-3.687572929534788e-24,7.722713995014213e-19,-3.375455263323436e-18,-1.635051945477597e-23,2.487289774123426e-16,-2.69004024385543e-20,1.475240566501993e-18
0.002,1.564841001392126,61.540548374438764,299.9999999999979,0.651688843467059,6.877378469867636e-14,1.5303886542063362e-15,-9.61595287604379e-22,-3.229846911418841e-22,-1.985919437354483e-23,-2.5597488937399933e-16,4.107126953335369e-21,-1.5617068296818023e-16,-9.570905541910303e-16,-1.7788383181890427e-31,4.4237538314798e-17,-4.9020548426995937e-36,3.814345072734922e-15,0.9999999999999285,-6.291870763939901e-20,-3.118163594737465e-20,1.407198914254603e-23,1.1860634689455834e-16,7.385496453391548e-28,2.0871462463505398e-19,6.914056992845962e-16,1.034335446091798e-21,-1.1092300126997448e-16,-1.272342496939919e-16,-1.5948788045392968e-15,1.2683882150557214e-20,-1.736644639383511e-17,3.4685228637823426e-21,4.566435205626899e-16,-9.048833250458008e-18,-6.388251102663092e-16,6.232577207966974e-16,4.812950914743011e-19,-2.5699016316366448e-17,-3.626401383345483e-42,-4.88262433318869e-16,4.347730974126786e-17,-3.720233030858067e-16,9.712434522715819e-17,-2.6931198294202738e-22,5.49267954429204e-16,-5.1649322608049123e-20,-3.4480841641853364e-16,1.754033652232689e-18,-4.216979922786498e-16,-3.6737464830047565e-21,-3.687572889821683e-24,7.73539188300872e-19,-3.3754449755966485e-18,-1.635052007176181e-23,2.4872897741450857e-16,-2.6899914857878155e-20,1.4752405791309409e-18
0.0025,1.4956078844718756,76.92568546805639,299.9999999999978,0.6516888434666355,8.127397732404829e-13,1.523731981042132e-15,-9.256069063898676e-22,2.491985550819694e-22,-8.427258884746128e-25,-2.5595439329425543e-16,4.107145980208934e-21,-1.5617068304220255e-16,-9.570905543729475e-16,-1.7018486081367048e-31,4.411197180290881e-17,-2.1776184342440223e-35,3.7776531733626036e-15,0.9999999999991847,-5.963223110280044e-20,-3.11588907994125e-20,1.4072197190833334e-23,1.1860634682924125e-16,8.571490331450857e-28,2.0869959292358635e-19,6.914057151195757e-16,1.0343185027572958e-21,-1.1092299601338593e-16,-7.402439097338272e-17,-1.6481038047744702e-15,1.2683827693427748e-20,-2.450801275899165e-17,3.46307347506787e-21,4.566435200234151e-16,-9.048833243138202e-18,-6.388251122787375e-16,6.232577266897092e-16,4.812937287253087e-19,-2.5699015753422123e-17,-3.544704368515415e-42,-4.882624300811538e-16,4.3477309822271835e-17,-3.72023302792025e-16,9.712434446252714e-17,-2.693327554346099e-22,5.492679550828265e-16,-5.1648925004434186e-20,-3.4480841387089467e-16,1.7540336591778028e-18,-4.216979926169866e-16,-3.6737448981758275e-21,-3.687572848446293e-24,8.192408314316869e-19,-3.375063788719205e-18,-1.6350520663026202e-23,2.4872897741654674e-16,-2.6899403464328507e-20,1.4752405920769391e-18
0.003,1.4109896304675547,92.31082256170498,299.9999999999977,0.6516888434619127,9.101077070501601e-12,1.5223820406561026e-15,-8.887375973193233e-22,1.9807169780224508e-20,-5.278007470844081e-25,-2.5525245710088244e-16,4.107800047921207e-21,-1.56170682904099e-16,-9.57090554653605e-16,-1.59962675341819e-31,4.39791886960756e-17,-4.0802187047992996e-35,3.766425950911609e-15,0.9999999999908962,5.419475266571074e-20,-3.014511713040429e-20,1.4072421151377316e-23,1.186063477569418e-16,9.816486225373767e-28,2.0868365551727e-19,6.914057320156019e-16,1.0343005314582448e-21,-1.1092278841499302e-16,-4.2028018433452473e-17,-1.6801100024117306e-15,1.2683758079866579e-20,-3.3732867048419604e-17,3.457369634465868e-21,4.566435195537287e-16,-9.048833231708724e-18,-6.388251148940442e-16,6.232577329749846e-16,4.812938536699673e-19,-2.5698998754714278e-17,-3.050174990657042e-42,-4.882623227084815e-16,4.347730998245477e-17,-3.720233024766506e-16,9.712434365238468e-17,-2.6935478700607605e-22,5.492679560557854e-16,-5.1648070237651293e-20,-3.4480841123696636e-16,1.7540337198160873e-18,-4.216979929715961e-16,-3.673589272250034e-21,-3.687572808367474e-24,2.391050093992013e-18,-3.3615658564802952e-18,-1.635051768200456e-23,2.4872897741694605e-16,-2.6898855910496385e-20,1.4752406064896264e-18
0.0035,1.3109862394633403,107.69595965576022,299.9999999999982,0.6516888434120068,9.668443330549448e-11,1.5617151216467619e-15,-8.458168279981088e-22,6.516838662569626e-19,-4.982230311775067e-25,-2.325912588477331e-16,4.129037303088452e-21,-1.561706757700375e-16,-9.570905549585198e-16,-1.3359779213175365e-31,4.383660921703461e-17,-5.846165757796853e-35,3.7738384834758396e-15,0.9999999999033128,3.785750079346206e-18,1.2540627274828375e-20,1.4073069225936607e-23,1.1860639278206222e-16,1.1183231298040744e-27,2.0866657769799426e-19,6.914057551408343e-16,1.0342805898787832e-21,-1.1091428599199834e-16,-2.3111907661323013e-17,-1.6990296903076634e-15,1.2683752145129864e-20,-4.5624037252259006e-17,3.451355779460389e-21,4.566435244926502e-16,-9.048833036630223e-18,-6.388251182351751e-16,6.232577408480471e-16,4.81327573063894e-19,-2.569844006255532e-17,1.106123786589571e-41,-4.882587968935773e-16,4.3477313090143524e-17,-3.7202330206506576e-16,9.712434283990857e-17,-2.6937851881502134e-22,5.492679669369427e-16,-5.164657914302927e-20,-3.448084084138147e-16,1.7540360380774024e-18,-4.2169799330204577e-16,-3.666915264009307e-21,-3.6875728313500944e-24,5.3475989890841085e-17,-2.9098956312879812e-18,-1.6350307370194155e-23,2.48728977408414e-16,-2.6898222735003557e-20,1.4752406577581223e-18
0.004,1.1955977122099393,123.08109675517959,300.00000000001376,0.6516888429184633,9.627964633534299e-10,1.881255513954697e-15,-6.959088076641364e-22,1.966425846493214e-17,-4.098396918193336e-25,4.487213584308212e-16,4.771220645130823e-21,-1.561704567090476e-16,-9.570905539408016e-16,-2.996394872915637e-34,4.368062628762781e-17,-5.524534077990231e-35,3.7970465386441724e-15,0.9999999990371982,1.1771583809649153e-16,1.6854988347370505e-18,1.409206657582443e-23,1.186082496746522e-16,1.3150075380967921e-27,2.0865134173753358e-19,6.91405987660624e-16,1.034251915155462e-21,-1.105893412380106e-16,-1.2189712383708914e-17,-1.7098400343267494e-15,1.2687334210917588e-20,-6.096428399265373e-17,3.445975757673733e-21,4.566437847591534e-16,-9.048824391460081e-18,-6.388251217336816e-16,6.232577728913473e-16,4.820335009949431e-19,-2.5681260489246822e-17,5.249250815135521e-40,-4.881508136696793e-16,4.347742060105337e-17,-3.720232997614798e-16,9.71243444128317e-17,-2.6940464001281644e-22,5.492683899219706e-16,-5.164420693793832e-20,-3.4480840474663234e-16,1.754127185648106e-18,-4.216979927571152e-16,-3.4037254481855326e-21,-3.687572402755085e-24,1.599717120513578e-15,1.1164780091354032e-17,-1.6339040193140104e-23,2.48728977818915e-16,-2.6896948272592398e-20,1.4752423840041175e-18
0.0045000000000000005,1.064824054697538,138.46623391403082,300.0000000004092,0.6516888384234139,8.850152448223666e-09,3.966124735622477e-15,1.5311006524191717e-21,5.430565440674962e-16,8.998300081137069e-25,1.918952278165629e-14,2.247384936262346e-20,-1.5616433650357156e-16,-9.570905349536134e-16,5.542680455719076e-31,4.350624256407228e-17,7.532015049588007e-35,3.839335576507877e-15,0.9999999911497742,3.3000459295610853e-15,6.162904038753956e-17,1.484254320624191e-23,1.1867809733195504e-16,2.3875884929576278e-27,2.087661947026715e-19,6.914141398944846e-16,1.0341574319642947e-21,-9.923427347890773e-17,-6.07820920463557e-18,-1.7117415850420358e-15,1.2830681614091443e-20,-8.030246110994583e-17,3.4655344300917406e-21,4.566548696042276e-16,-9.048458645487136e-18,-6.38825121614199e-16,6.232582417251612e-16,4.950121816120622e-19,-2.519790311702483e-17,3.089911727706426e-38,-4.85125070625862e-16,4.348090660361734e-17,-3.720232392722202e-16,9.712441980568667e-17,-2.694370157714484e-22,5.492846439943312e-16,-5.16402442984695e-20,-3.448083947362321e-16,1.7574120395198586e-18,-4.2169796950389174e-16,6.081995116384761e-21,-3.6874626906661526e-24,4.4418175563343106e-14,4.123872681235859e-16,-1.5789437580492292e-23,2.4872900679592353e-16,-2.6880718895202845e-20,1.4753153815603032e-18
