z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,1.8413695616082595,-1.376644425580334e-19,300.0,0.6516888434670961,-3.8340029541579125e-16,-2.9516533129974155e-16,1.3789387987579875e-17,-8.342097812270458e-22,2.5623316493536443e-16,6.2362739550190734e-18,1.0768873621445338e-17,-2.9175074025061827e-16,3.9700139665189513e-16,-3.241632439755009e-16,-4.8013250712461036e-17,-1.4326084010021342e-16,5.895499217092218e-18,0.9999999999999997,-1.1382169767973972e-15,-3.0062142859188125e-18,2.391230094685292e-22,-3.4649028833684434e-16,9.083800513705053e-28,-7.137713860913873e-19,8.380169815802259e-16,-2.364779223598272e-21,-3.907453624525416e-16,2.261462567837047e-15,8.953009562891251e-18,-2.151057015533185e-18,1.1044501374185463e-17,-1.3756303847338309e-17,8.789291613435657e-19,-8.390421578090913e-18,3.401567658968849e-16,-1.721011889857449e-17,-6.529193512907841e-17,-3.3081758023827304e-17,6.0887909012816964e-40,-1.0580112750436963e-16,4.3467869107130375e-17,-4.187379837160326e-17,-1.1200595976932828e-16,-1.065407822682967e-20,-3.38516986514617e-17,3.0010824604860166e-19,-5.456720256924472e-16,9.601098445738835e-18,-2.62778275071462e-20,-3.730038368839219e-19,-3.637866503107555e-24,1.7697422030346045e-18,3.115687650392471e-18,1.4258235336544892e-20,3.7257823687244843e-16,-6.631050721919381e-18,6.115363790642718e-17
0.0005,1.833040963749878,16.657195716780556,300.0000000000015,0.6516888434670929,-3.742695889109963e-16,-6.016113154521363e-16,1.336330892791581e-17,-8.342475759261439e-22,4.7985158832753405e-18,2.6082552877096265e-16,1.0768874562853373e-17,-2.917507407398919e-16,3.970015678410643e-16,-5.06358490891127e-22,-4.790216941201797e-17,-3.1856613376736078e-22,2.4184583564659357e-16,0.9999999999999991,-1.1382530669312932e-15,-3.0062142847984905e-18,2.39123723532784e-22,-3.464902883253499e-16,3.6043127939485356e-28,-7.13730344299412e-19,8.380169364980721e-16,-2.3649667304675554e-21,-3.907636063533864e-16,1.4242103409073303e-15,5.158486072141149e-16,-2.151054873265997e-18,2.945226554155427e-16,-1.3720202191980751e-17,8.789291889536523e-19,-8.390421569367497e-18,3.401572724833668e-16,-1.7210121748336194e-17,-6.529193487255514e-17,-3.308175785888963e-17,2.590033287045687e-38,-1.058011554529381e-16,4.346786946935274e-17,-4.1873796988199306e-17,-1.1200595957592017e-16,-1.0647846346958522e-20,-3.3851771523021295e-17,2.996598733337167e-19,-5.456720244258634e-16,9.601098443020329e-18,-2.627782754098649e-20,-3.730038889474859e-19,-3.637935543088737e-24,1.769750921151497e-18,3.1156876266166198e-18,1.4258235106446834e-20,3.725782369375946e-16,-6.631050742523448e-18,6.115363804040011e-17
0.001,1.8080551701747258,33.314391433563564,300.0000000000049,0.6516888434670858,-2.8706968656933144e-16,-6.079193389324479e-16,1.294474073582789e-17,-8.342850317778227e-22,9.602129729839367e-20,2.6599837374711093e-16,1.0768875500744045e-17,-2.9175074120560175e-16,3.9700173775785006e-16,-7.800120478268375e-28,-4.7789788417164975e-17,-6.993758270858952e-28,2.1406824109563007e-16,0.999999999999999,-1.1382895427270798e-15,-3.0062142837345148e-18,2.391217407413751e-22,-3.464902882117801e-16,-5.863001171656926e-29,-7.1368871211353e-19,8.380168938405448e-16,-2.365156461035448e-21,-3.907820395220119e-16,8.923938471054914e-16,1.0477791377810307e-15,-2.1510527637736898e-18,5.761110208131015e-16,-1.3683712821410191e-17,8.78929216009003e-19,-8.39042156168576e-18,3.401577755666166e-16,-1.7210124591217618e-17,-6.529193462317053e-17,-3.3081757702497036e-17,2.590064960328169e-38,-1.0580118376737837e-16,4.346786983389405e-17,-4.18737955957397e-17,-1.1200595942915055e-16,-1.0641526797556484e-20,-3.385184369402062e-17,2.9921505289021935e-19,-5.456720231361264e-16,9.601098440517193e-18,-2.6277827572463037e-20,-3.730039415993928e-19,-3.638024542302213e-24,1.7697598446854672e-18,3.115687604658724e-18,1.425823488201475e-20,3.7257823699562537e-16,-6.631050763653061e-18,6.115363815911355e-17
0.0015,1.7664121808827897,49.97158715035072,300.0000000000082,0.6516888434670781,8.341615167702124e-16,-6.143133426729251e-16,1.2529894475151073e-17,-8.342780465680619e-22,8.958139872658263e-21,2.6650127167791327e-16,1.0768876445906872e-17,-2.917507416826062e-16,3.9700190846344504e-16,5.2504015641754115e-31,-4.767500070101684e-17,-2.1175331151451765e-31,-1.4093181245921384e-17,0.9999999999999978,-1.1383267611892817e-15,-3.0062142818916506e-18,2.3911966004583547e-22,-3.4649028808784227e-16,-4.82774586175702e-28,-7.136460781197458e-19,8.38016850227358e-16,-2.3653502421313637e-21,-3.908008435746657e-16,5.543257753314832e-16,1.3859220827829191e-15,-2.151050659091288e-18,8.58847936733039e-16,-1.3646477859464327e-17,8.789292430703203e-19,-8.390421553824105e-18,3.401582818836531e-16,-1.721012750832443e-17,-6.529193436768376e-17,-3.308175754229346e-17,2.590068021213509e-38,-1.0580121275975419e-16,4.346787020512679e-17,-4.187379417010874e-17,-1.1200595927761838e-16,-1.0635056444193339e-20,-3.3851916374468826e-17,2.9876728648446996e-19,-5.456720218241172e-16,9.601098437938342e-18,-2.627782760469843e-20,-3.730039953739963e-19,-3.638115628394785e-24,1.769772103101476e-18,3.1156876061535795e-18,1.42582346517699e-20,3.7257823705521483e-16,-6.6310507851703426e-18,6.115363828060454e-17
0.002,1.708111995874083,66.62878286714384,300.0000000000114,0.651688843467063,1.5349806258555778e-14,-6.208346468331194e-16,1.2114935155185229e-17,-8.324682953400954e-22,7.146042622850386e-21,2.6691807713024557e-16,1.0768877410295627e-17,-2.9175074218254464e-16,3.9700208215338197e-16,5.198200182762869e-31,-4.7556548348162934e-17,-2.073730423970852e-31,-3.7397637672119093e-16,0.9999999999999835,-1.1383651182437245e-15,-3.0062142405918455e-18,2.391175052526673e-22,-3.4649028794966017e-16,-9.189415966068323e-28,-7.136019685311986e-19,8.380168051161248e-16,-2.3655501929650467e-21,-3.908202233181811e-16,3.399764811206602e-16,1.6003209949522157e-15,-2.151048534756364e-18,1.1456262640811184e-15,-1.3608091863161121e-17,8.78929270619501e-19,-8.390421545461643e-18,3.401587979307071e-16,-1.7210130541187665e-17,-6.529193410066842e-17,-3.3081757373225847e-17,2.590071163803004e-38,-1.058012427732748e-16,4.346787058719524e-17,-4.1873792693324975e-17,-1.120059591119698e-16,-1.062836297722361e-20,-3.385199053757923e-17,2.983107632406205e-19,-5.456720204783838e-16,9.601098435203237e-18,-2.6277827638610867e-20,-3.730040508451248e-19,-3.638209834362116e-24,1.7699105772815667e-18,3.11568860522769e-18,1.4258234413118452e-20,3.7257823711867046e-16,-6.631050807287889e-18,6.115363840889656e-17
0.0025,1.6331546151488232,83.2859785839453,300.00000000001467,0.651688843466952,1.9794680004128464e-13,-6.273340405990274e-16,1.1695748696423053e-17,-7.605552062998467e-22,6.872300532169627e-21,2.673397065892733e-16,1.0768878409314681e-17,-2.917507427013897e-16,3.970022613054501e-16,5.131803501671536e-31,-4.7432926436645955e-17,-2.0529480945989597e-31,-8.276135491620666e-16,0.9999999999998009,-1.1384047529813738e-15,-3.0062122006692377e-18,2.3911524868431625e-22,-3.464902877999109e-16,-1.3725450932638318e-27,-7.135558116318795e-19,8.380167579243788e-16,-2.36575884558508e-21,-3.9084042208116054e-16,2.049160707193673e-16,1.7354146740882441e-15,-2.151046365310297e-18,1.4396634651893067e-15,-1.3568070974077291e-17,8.789292992639423e-19,-8.390421536839397e-18,3.4015933087950887e-16,-1.7210133717109003e-17,-6.529193381078944e-17,-3.30817571529009e-17,2.590074384171611e-38,-1.0580127386052322e-16,4.3467870984714516e-17,-4.1873791149349525e-17,-1.1200595894108448e-16,-1.0621359288459225e-20,-3.3852067132941975e-17,2.9783931856189545e-19,-5.4567201907831965e-16,9.601098432449536e-18,-2.6277827673195086e-20,-3.730041084520834e-19,-3.638308381453551e-24,1.7749720729973232e-18,3.115729815897722e-18,1.4258234163071826e-20,3.725782371842405e-16,-6.631050830295754e-18,6.115363854173244e-17
0.003,1.541540038709553,99.94317430076448,300.000000000018,0.651688843465689,2.4024854799729727e-12,-6.320231730808616e-16,1.1267643159127947e-17,1.9188096298914825e-21,6.6203063322643994e-21,2.6785258424005684e-16,1.0768879545558629e-17,-2.9175074322062993e-16,3.9700244862581667e-16,5.060665113936129e-31,-4.7302241284072113e-17,-2.0320016709825293e-31,-1.3542882492840725e-15,0.9999999999975967,-1.1384333219739034e-15,-3.006113161373242e-18,2.3911285673859864e-22,-3.4649028752866566e-16,-1.850375063803678e-27,-7.135068832263176e-19,8.380167079207436e-16,-2.3659793575725425e-21,-3.908617261663341e-16,1.206957262702171e-16,1.81965755061123e-15,-2.1510441217077084e-18,1.7447813257784855e-15,-1.3525807500197549e-17,8.789293397096173e-19,-8.390421527426833e-18,3.4015988883745594e-16,-1.7210137078185042e-17,-6.52919332188919e-17,-3.308175522510715e-17,2.59007588964567e-38,-1.0580129541143571e-16,4.3467871411479256e-17,-4.187378951286635e-17,-1.1200595875916176e-16,-1.0613935118932241e-20,-3.385214732378952e-17,2.973457804644665e-19,-5.4567201760101865e-16,9.60109843434529e-18,-2.6277827681070855e-20,-3.7300415556307313e-19,-3.6384128021560555e-24,1.964220411675702e-18,3.1173203956216617e-18,1.4258233898003888e-20,3.7257823725296816e-16,-6.631050854502536e-18,6.115363868226666e-17
0.0035,1.4332682665832537,116.60037001772035,300.00000000002154,0.6516888434512956,2.764937738978919e-11,-6.202809522235741e-16,1.082491865204754e-17,9.624665421247917e-20,6.360175999560412e-21,2.712752686890358e-16,1.0768883925535513e-17,-2.917507427222652e-16,3.970026475160615e-16,4.972965569109601e-31,-4.716198494899918e-17,-2.015003880527879e-31,-1.9453952997769126e-15,0.9999999999723498,-1.1379904797984165e-15,-3.0015664163376144e-18,2.391103285348132e-22,-3.4649028210266677e-16,-2.3621210556172653e-27,-7.134542098288701e-19,8.380166546435993e-16,-2.3662155917432117e-21,-3.908836959959496e-16,6.897790395011292e-17,1.8713910606902557e-15,-2.151041759511645e-18,2.0658102690524466e-15,-1.3480497738465814e-17,8.789299477440608e-19,-8.390421500840526e-18,3.4016048206519875e-16,-1.721014039669987e-17,-6.529192595724642e-17,-3.3081692304229834e-17,2.5900105304264063e-38,-1.0580091095184718e-16,4.3467872206731524e-17,-4.1873787746554826e-17,-1.1200595855550993e-16,-1.0605943673513282e-20,-3.385223170700437e-17,2.9682111424159463e-19,-5.456720159851734e-16,9.60109865982189e-18,-2.6277826366624658e-20,-3.730035709367586e-19,-3.638524757853449e-24,8.666130163757963e-18,3.1753219486902334e-18,1.4258233630850652e-20,3.7257823731911287e-16,-6.631050879555132e-18,6.115363883598238e-17
0.004,1.308339299031491,133.25756573648522,300.0000000000277,0.6516888432970953,2.982486468069777e-10,-4.845969236069965e-16,1.0360229273029125e-17,3.190422074317691e-18,6.087147508024068e-21,3.6941337803151713e-16,1.0768992926395036e-17,-2.917507074507374e-16,3.970028620312125e-16,4.790129164620057e-31,-4.700865959557718e-17,-2.0351883457571037e-31,-2.6019439116265376e-15,0.9999999997017507,-1.1217926250460235e-15,-2.807171178410983e-18,2.3910938885230595e-22,-3.4649004675345737e-16,-2.925552002800906e-27,-7.133959827143545e-19,8.380166210742378e-16,-2.3664694024349676e-21,-3.9087189968175855e-16,3.789491253506968e-17,1.902498240886017e-15,-2.151038829265993e-18,2.409242836056862e-15,-1.3431022596570732e-17,8.789591623802085e-19,-8.39042063982059e-18,3.401611238490878e-16,-1.7210137449628695e-17,-6.529177433238986e-17,-3.307958904394269e-17,2.5882607325651103e-38,-1.0578691659506238e-16,4.3467886218140526e-17,-4.1873785622381406e-17,-1.1200595797761222e-16,-1.0597178786985416e-20,-3.3852282071382195e-17,2.9625311143273983e-19,-5.45672013867603e-16,9.601108503792298e-18,-2.6277768180838742e-20,-3.729756763804702e-19,-3.638636424303848e-24,2.298154679688181e-16,5.145909133590163e-18,1.4258234430333455e-20,3.7257823735916343e-16,-6.631050871692056e-18,6.115363919652005e-17
0.0045000000000000005,1.166753138325092,149.9147614768058,300.0000000000976,0.6516888417749545,2.969349091273047e-09,4.968014699598604e-16,9.86456750459099e-18,9.610953125587871e-17,5.795921830903564e-21,3.300746443571928e-15,1.077224766347501e-17,-2.917496209956903e-16,3.970030874709049e-16,3.9887947566357395e-31,-4.683741239332091e-17,-2.3243148898098718e-31,-3.3322889731521096e-15,0.9999999970306392,-6.267616779939557e-16,4.796661000972578e-18,2.3918992799512385e-22,-3.464803938795746e-16,-3.521784835716133e-27,-7.133114601316778e-19,8.380176218290346e-16,-2.3667098540152e-21,-3.894984580450383e-16,1.9742135953753883e-17,1.9211986214116137e-15,-2.1510184013683564e-18,2.7840695102758493e-15,-1.3375841124179366e-17,8.803100834395503e-19,-8.390381290548407e-18,3.4016181965523846e-16,-1.721000526259886e-17,-6.528875230300259e-17,-3.3015037263870775e-17,2.653465072902057e-38,-1.0535797412143009e-16,4.3468366144177285e-17,-4.1873776209251976e-17,-1.1200594565549493e-16,-1.0587346928192018e-20,-3.38506182176466e-17,2.956249758314892e-19,-5.456720082427808e-16,9.60149604489185e-18,-2.6275477397624937e-20,-3.7187541674925557e-19,-3.6386826480594705e-24,6.91050363149384e-15,6.643215715406484e-17,1.4258293624068234e-20,3.7257823981906726e-16,-6.631049299691093e-18,6.115364912187649e-17
