z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,1.6111983664072294,-2.0785937704401144e-20,300.0,0.651688843467095,-5.476270835509013e-16,1.2430013185255804e-16,-4.0076502335071912e-19,-7.750142184085786e-22,-2.972381201196115e-16,-8.285776546666054e-18,-4.45392792503302e-19,-2.5908770950231677e-17,-1.7963951672578598e-16,-2.462047437044798e-16,5.383122878757951e-18,1.8607692152145428e-15,1.0279636997239125e-16,0.9999999999999996,-1.5649870885463314e-16,-1.4875669957703667e-19,2.8471671460206635e-23,-1.442019275190668e-16,-1.6468707077584425e-28,9.387243662182595e-20,3.1819290750906807e-16,-9.2610268012982e-22,-4.0392174364700977e-16,4.304203161534717e-16,-1.7358951266280294e-18,-5.968153740537464e-20,1.7864665878975608e-20,-2.3686660164388837e-19,-9.679927284158233e-22,-5.744582559649535e-17,-1.9277423627354203e-16,-1.7377992359837853e-17,1.566566630849153e-17,3.244266515903494e-17,-2.2934782953622433e-41,-1.5076311062192067e-16,-1.9659803730080523e-19,-1.42455002292084e-17,-3.2185165930689635e-17,1.7098136939490313e-20,6.431200225563695e-17,1.160222060594033e-20,4.5754243847854927e-17,-2.78413775629028e-17,-5.642936459029568e-21,-1.6218222740782997e-20,-2.732728565230228e-24,2.3552669063519684e-19,-3.0710115310517707e-19,4.945678031035495e-22,-1.5316121403549153e-16,-3.13368324000432e-20,-8.938208026889896e-17
0.0005,1.6038254392250253,14.745854364420149,300.0000000000011,0.6516888434670928,-4.616489126845703e-16,-1.012814430130825e-16,-3.866772251420545e-19,-8.875841959791893e-22,-4.897917233219293e-18,-3.0426154356397526e-16,-4.451676523406327e-19,-2.590888446127798e-17,-1.7963951442796433e-16,-3.382807984021504e-22,5.368893864760226e-18,3.633015338435621e-21,3.70265855486065e-15,0.9999999999999981,-1.564995578901022e-16,-1.4875669953966337e-19,2.846282193245577e-23,-1.4420192771152687e-16,-1.4871245905650035e-28,9.386613930797184e-20,3.1819291421820864e-16,-9.261599481242118e-22,-4.039221735004366e-16,2.576176784345766e-16,-8.060892758755274e-17,-5.968154737226902e-20,1.7870776436191794e-20,-2.3601826105328037e-19,-9.67996379776669e-22,-5.744582559476217e-17,-1.9277422816567473e-16,-1.737799216019055e-17,1.566566615235423e-17,3.244266511101125e-17,-8.565111996463939e-40,-1.5076311118028966e-16,-1.965980600369165e-19,-1.4245500270376236e-17,-3.2185165952244686e-17,1.7098181794782303e-20,6.43120004023684e-17,1.1593095173711968e-20,4.575424307548864e-17,-2.7841377571135537e-17,-5.642936457569336e-21,-1.6218239170201788e-20,-2.732827045160858e-24,2.355281413943533e-19,-3.0710114929864427e-19,4.945677930521694e-22,-1.531612139254911e-16,-3.133683239119922e-20,-8.938208032294222e-17
0.001,1.5817066576783962,29.49170872884068,300.00000000000114,0.651688843467092,5.605073267591136e-16,-1.0116648400883918e-16,-3.728966488937071e-19,-1.0014077805363757e-21,-7.986912771643831e-20,-3.0915388079615466e-16,-4.449399292096099e-19,-2.5908999457871058e-17,-1.796395137478266e-16,-4.5856890521283955e-28,5.3545006462645694e-18,6.998165286419193e-27,3.801675739410315e-15,0.999999999999997,-1.5650041800638683e-16,-1.4875669865233278e-19,2.8462515078957007e-23,-1.4420192795019558e-16,-1.3000937314569657e-28,9.385975282701578e-20,3.181929212962321e-16,-9.26217874375752e-22,-4.039226071536823e-16,1.5333558205068635e-16,2.3700721355904495e-17,-5.968156304535495e-20,1.7873113761411194e-20,-2.351587354681178e-19,-9.68000107893943e-22,-5.744582559360413e-17,-1.927742242015711e-16,-1.7377991947213975e-17,1.5665665974934317e-17,3.2442665053009e-17,-8.565192766675262e-40,-1.5076311183541327e-16,-1.9659808522168065e-19,-1.424550031049297e-17,-3.2185165980147405e-17,1.7098227288188243e-20,6.431199895402321e-17,1.1587242667925604e-20,4.575424237549255e-17,-2.7841377581002837e-17,-5.64293645572115e-21,-1.6218255785554584e-20,-2.732926969460618e-24,2.355327539818867e-19,-3.071011205573713e-19,4.945677829039595e-22,-1.5316121377595176e-16,-3.1336832387868303e-20,-8.93820803949441e-17
0.0015,1.5448420217673617,44.23756309326188,300.0000000000012,0.6516888434670849,1.2546075547776006e-14,-1.0102792279455265e-16,-3.592966924090063e-19,-1.1163055826564774e-21,-1.4779355846303932e-21,-3.092468251397021e-16,-4.447073559577612e-19,-2.590911678962709e-17,-1.7963951379483056e-16,8.255048898060972e-32,5.3398000377211136e-18,1.3950988442830246e-32,3.864241418016376e-15,0.9999999999999849,-1.5650128973861608e-16,-1.4875665991041268e-19,2.8462345801404417e-23,-1.4420192816250016e-16,-1.1084798118159742e-28,9.385321270803808e-20,3.1819292845296465e-16,-9.262770350557268e-22,-4.0392304944446005e-16,9.040075399299179e-17,8.665288414589304e-17,-5.96815825348006e-20,1.787412340338279e-20,-2.342793924114648e-19,-9.680039375208873e-22,-5.744582559204006e-17,-1.9277422230947274e-16,-1.7377991735963003e-17,1.566566580611799e-17,3.244266500091361e-17,-8.565190568898986e-40,-1.5076311244164327e-16,-1.9659810961458466e-19,-1.424550035262953e-17,-3.2185166004818265e-17,1.709827388368992e-20,6.431199786869605e-17,1.1583330014016419e-20,4.575424160146058e-17,-2.784137759011873e-17,-5.6429364540519225e-21,-1.621827274947185e-20,-2.7330293044890245e-24,2.356512464858893e-19,-3.071001850221996e-19,4.945677725542863e-22,-1.5316121364703128e-16,-3.133683238280026e-20,-8.938208045817107e-17
0.002,1.493231531492072,58.98341745768421,300.0000000000012,0.6516888434670067,1.5007732393268336e-13,-1.007225715975873e-16,-3.457513260291045e-19,-1.1872896885600433e-21,-2.226602856459801e-22,-3.092597587887752e-16,-4.444673526638843e-19,-2.5909237794057243e-17,-1.7963951430809166e-16,8.286404309949967e-32,5.32462922846419e-18,7.844858411257957e-34,3.901855486760804e-15,0.9999999999998475,-1.5650190306507882e-16,-1.4875488025313812e-19,2.846217448747691e-23,-1.4420192835946194e-16,-9.103064991181191e-29,9.38464449853689e-20,3.181929357973571e-16,-9.263380845375588e-22,-4.0392350540168874e-16,5.25588324870432e-17,1.245057131494986e-16,-5.96816048245823e-20,1.7874708302696106e-20,-2.3337035732319166e-19,-9.680077668559562e-22,-5.744582559015878e-17,-1.9277422171140573e-16,-1.7377991521552076e-17,1.5665665647312963e-17,3.24426649963818e-17,-8.565188964250635e-40,-1.5076311275001765e-16,-1.965981337763515e-19,-1.4245500396928818e-17,-3.218516602776375e-17,1.7098322109161003e-20,6.431199699888756e-17,1.1580592288648299e-20,4.575424076344937e-17,-2.784137759879675e-17,-5.642936451900085e-21,-1.6218289976511567e-20,-2.7331352092048543e-24,2.398074655875657e-19,-3.07066123717769e-19,4.945677619004176e-22,-1.5316121352968889e-16,-3.1336832376237757e-20,-8.938208051660751e-17
0.0025,1.4268751868541327,73.72927182211099,300.00000000000125,0.6516888434661348,1.6800721104166175e-12,-9.916216780701931e-17,-3.3212752765387876e-19,3.6056138529177783e-22,-1.954298741502715e-22,-3.0920926361636207e-16,-4.442167792531467e-19,-2.590936406939186e-17,-1.7963951518085564e-16,8.282089993179145e-32,5.308793190525953e-18,7.824461662138344e-34,3.924245754203477e-15,0.9999999999983175,-1.5649259317974826e-16,-1.4867568488555056e-19,2.846199918987449e-23,-1.442019284896044e-16,-7.02186454686657e-29,9.383936052361322e-20,3.1819294348022694e-16,-9.264017986940414e-22,-4.039239652590693e-16,2.998066135157067e-17,1.4709082183768896e-16,-5.968162932734114e-20,1.787578072601163e-20,-2.324197360337063e-19,-9.680043081441984e-22,-5.744582558777898e-17,-1.927742220189172e-16,-1.7377991292046378e-17,1.5665665656650623e-17,3.244266657413209e-17,-8.565211799191919e-40,-1.507631032979983e-16,-1.9659815248345807e-19,-1.4245500443358022e-17,-3.2185166050948065e-17,1.7098372598203456e-20,6.431199624739221e-17,1.1578564547121094e-20,4.5754239879553585e-17,-2.784137760341929e-17,-5.6429364237350776e-21,-1.6218295484518566e-20,-2.7332460823324564e-24,3.8246943276142577e-19,-3.058620271614269e-19,4.945677510269066e-22,-1.5316121340999467e-16,-3.133683236001432e-20,-8.93820805761323e-17
0.003,1.3457729878696318,88.47512618659024,300.0000000000013,0.6516888434568284,1.8012424536962473e-11,-8.838660507484399e-17,-3.1827538390669756e-19,5.487273483097889e-20,-1.8700706210339204e-22,-3.0712990661343634e-16,-4.439500570723248e-19,-2.590949700969169e-17,-1.7963951633181827e-16,8.471005358345135e-32,5.2920460146311094e-18,7.751457310095779e-34,3.9374007787788965e-15,0.999999999981985,-1.561535611461554e-16,-1.4530445295567937e-19,2.8461889379055315e-23,-1.4420192544542908e-16,-4.743350530111155e-29,9.383185189482973e-20,3.181929519877245e-16,-9.264690700669342e-22,-4.0392377374402174e-16,1.6675428583931847e-17,1.6040072039461973e-16,-5.9681649795363e-20,1.7902821768712606e-20,-2.314124515275549e-19,-9.676240973788968e-22,-5.744582557102132e-17,-1.927742229684822e-16,-1.7377990923814006e-17,1.5665669430038992e-17,3.2442720956138626e-17,-8.565963208674245e-40,-1.5076276914053706e-16,-1.965979249405854e-19,-1.4245500489328395e-17,-3.218516606677775e-17,1.7098426114057056e-20,6.431199631399656e-17,1.1576960405283468e-20,4.575423894146472e-17,-2.784137742505243e-17,-5.6429352847708685e-21,-1.6217767959179136e-20,-2.733363689482942e-24,5.069620136016708e-18,-2.6513042672347215e-19,4.945677527726505e-22,-1.531612132802633e-16,-3.1336831877542115e-20,-8.938208063540379e-17
0.0035,1.2499249346886236,103.22098055180183,300.00000000000284,0.6516888433626012,1.8337538544096782e-10,-1.3209513937302048e-17,-3.0400483514801333e-19,1.7411151116192355e-18,-1.7861837611365574e-22,-2.425971964136001e-16,-4.436099799186613e-19,-2.5909621110762203e-17,-1.7963951768187078e-16,1.0017650038366698e-31,5.274061074397214e-18,7.327208404591384e-34,3.945100497003664e-15,0.9999999998166216,-1.4550623030010415e-16,-9.761169570151487e-21,2.846354344827611e-23,-1.4420178818923628e-16,-1.667168281779685e-29,9.382401314731396e-20,3.181929766809553e-16,-9.265401706732064e-22,-4.0389702384438337e-16,8.973999976640986e-18,1.6811422610462089e-16,-5.968139859770307e-20,1.9060342690829317e-20,-2.303282737940442e-19,-9.493224079353798e-22,-5.744582491545657e-17,-1.9277422438307276e-16,-1.737798802009488e-17,1.5665750430455735e-17,3.244443810259966e-17,-8.569749701894838e-40,-1.5075225188708907e-16,-1.965886842275366e-19,-1.424550041274913e-17,-3.218516582565879e-17,1.7098483236904523e-20,6.431202996629214e-17,1.15756033979674e-20,4.575423791848681e-17,-2.78413698501398e-17,-5.642889292037419e-21,-1.619568397029995e-20,-2.7334899676277784e-24,1.5058057719331737e-16,1.0367216577239626e-18,4.945684793376463e-22,-1.5316121307724262e-16,-3.1336809223782363e-20,-8.938208057501157e-17
0.004,1.139331028591312,117.9668349263588,300.0000000000441,0.6516888424697452,1.7501866863992272e-09,4.836710297748911e-16,-2.8886540299865884e-19,5.019785858948674e-17,-1.697229480529847e-22,1.6106191112097463e-15,-4.416942328027852e-19,-2.590921716678263e-17,-1.7963951878337822e-16,1.6410631983905697e-31,5.254381444704525e-18,4.625676428733156e-34,3.950508220222467e-15,0.9999999982498036,1.649587215605212e-16,5.0613955013273846e-18,2.853322481451924e-23,-1.4419638940738904e-16,8.681449015620008e-29,9.382526388173413e-20,3.181936222354746e-16,-9.266064403399177e-22,-4.0290179523375006e-16,4.6254855821137726e-18,1.7281380186695438e-16,-5.967007349063013e-20,6.616828670385347e-20,-2.2913616756481754e-19,-1.3896352001427607e-22,-5.744579638999953e-17,-1.9277422598316218e-16,-1.7377937941700637e-17,1.5667303528435598e-17,3.249487018976073e-17,-4.904430676524585e-40,-1.5044461903484886e-16,-1.9627469243623132e-19,-1.4245495648826515e-17,-3.2185158185129636e-17,1.7098540626895406e-20,6.431341129760077e-17,1.1574416371942999e-20,4.575423666306996e-17,-2.7841084552186876e-17,-5.641158529632277e-21,-1.536384338358414e-20,-2.733610041800691e-24,4.356550525360741e-15,3.9775390214675806e-17,4.946061291982063e-22,-1.531612106133103e-16,-3.13358040375431e-20,-8.938207549186383e-17
0.0045000000000000005,1.0139912793446604,132.71268940026854,300.00000000103904,0.6516888346781377,1.5420792418237082e-08,3.5199057562729356e-15,-2.68408657634586e-19,1.3236574946163779e-15,-1.577097521026668e-22,5.027543051678972e-14,-3.9897355325060517e-19,-2.5894510456145163e-17,-1.7963951465104418e-16,2.055112250778511e-31,5.232377264071511e-18,-1.1661880997706385e-33,3.96199799299668e-15,0.9999999845790238,8.44348462139594e-15,1.7845271834701726e-16,3.1008741506607413e-23,-1.4400263363351756e-16,2.088031509174421e-27,9.41806414743618e-20,3.182167881966657e-16,-9.265801235059019e-22,-3.696945470418133e-16,2.2498382743714817e-18,1.8727842478123753e-16,-5.924997029167585e-20,1.819100926224955e-18,-2.2773665083500733e-19,3.263042176240951e-20,-5.744464635784605e-17,-1.927742274698181e-16,-1.737707857591462e-17,1.56945258956349e-17,3.384940681191959e-17,7.033912055305093e-38,-1.4221572128053057e-16,-1.865531827107355e-19,-1.4245330027867972e-17,-3.2184954777521166e-17,1.709856145778546e-20,6.436416641576857e-17,1.1574394856124713e-20,4.5754233927916545e-17,-2.7831273491627407e-17,-5.581634507627741e-21,1.32455468477291e-20,-2.733047204573205e-24,1.1554473732213344e-13,1.0939392886349378e-15,4.963585468346059e-22,-1.5316111196479368e-16,-3.129590947010537e-20,-8.938187058942805e-17
