mixF,x (m),u (m/s),strain (1/s),T (K),density (kg/m^3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
1.0,0.0,1.3043034394725168,-2.640099340544633e-20,300.0,1.1768085990313188,2.2130561756308785e-19,1.5665123000277947e-49,2.383603997843641e-29,0.23195746469599257,3.890178448587134e-29,1.5608345994079768e-29,-2.5054043989176696e-32,7.76383320551562e-34,-8.52587652440992e-59,-9.532766884156335e-87,4.6711674623803475e-59,-2.6811859378607947e-65,1.564175616707033e-42,2.1487225993289968e-38,2.028206482413983e-32,2.1165193839343997e-35,1.2634162236925185e-72,3.369586669044802e-45,3.8379611666334016e-73,6.402015686358665e-60,2.2641567921951868e-45,7.529413342841155e-86,4.588548944541166e-47,2.5407572272056796e-78,7.822172220624074e-48,-3.1342219481282364e-57,-1.0497646488102419e-47,1.037917513405353e-75,4.380140511545823e-49,7.188972063075073e-52,4.1244989995412493e-41,5.896596816879946e-57,6.012396395223428e-35,7.259844894368252e-39,5.4687685012187585e-58,1.6592630963404766e-34,6.699791701534439e-37,2.9109854760942788e-40,2.2868769765138124e-38,-4.079888911564195e-71,2.4757563284803654e-41,1.843936387295213e-44,2.9000001065266962e-87,2.9419641138249524e-44,4.2713910463402145e-44,9.075853624686324e-42,1.5366672051746073e-44,0.7542529753388488,0.01378955996515868,1.2384106928972666e-64,-2.276509152804623e-64,1.1173826633284907e-74,3.185104189737082e-53
1.0,0.0005,1.2982159460639846,12.174986817065365,299.9999999999991,1.1768085990313188,7.415857869161585e-17,-7.062424610812157e-17,2.189132456747253e-21,1.5398972800464035e-23,8.265913924579593e-17,3.032589628403446e-18,-8.512585125428912e-22,-6.271594919105199e-18,-2.2732413003190445e-17,1.1100755665246288e-17,-1.735156930426299e-16,-7.127033066168127e-16,-3.847042921078831e-17,0.9999999999999999,-3.269099640674521e-20,2.2168301184993375e-21,1.8190139496941986e-23,1.4766648194953141e-16,2.7569042610411643e-28,7.224017931400822e-20,-3.486207901059089e-16,-3.529604636435338e-22,-2.646587537339144e-16,1.4472901840753618e-15,1.831815670582963e-17,1.476617433329148e-19,5.94290215583617e-20,3.9922628309825764e-23,-4.0270982330895874e-16,3.961646061062976e-16,6.002033375282538e-17,5.033574679594324e-17,1.5401984687785988e-17,-6.19647812730572e-20,1.1535586230048826e-40,1.876188475935122e-16,-4.5623822663203135e-17,4.324333943619251e-18,-2.0710754566821565e-16,-1.8742055502808725e-21,-1.1229042309792427e-16,-5.277340999671673e-20,-3.488583038810126e-20,-7.656223875921129e-17,-2.6881884369887938e-21,-3.1746847174499877e-16,7.663635980469777e-25,5.873665344075181e-18,-5.04355600347259e-19,1.3293373506653134e-23,-1.7463030191043e-16,-4.0718789829349346e-20,1.6636441708141938e-17
1.0,0.001,1.279953465838431,24.349973634130915,299.99999999999926,1.1768085990313188,5.759387121224266e-16,-7.007227269289023e-17,2.0949005189154802e-21,1.7581485686907266e-23,1.1160726005896063e-18,9.072584798987824e-17,-8.547481013061951e-22,-6.271593131229879e-18,-2.2732411884588788e-17,1.2468397633526731e-23,-1.7294924967354167e-16,-1.133875700203087e-21,-1.1290685734085217e-15,0.9999999999999998,-3.268777045082592e-20,2.216854329454513e-21,1.8189240603494807e-23,1.4766648173205804e-16,4.515726613535886e-28,7.223419462818003e-20,-3.486207836159441e-16,-3.560950267673837e-22,-2.6465875446200186e-16,7.926605014772139e-16,7.221729810623447e-16,1.4765959127005043e-19,-5.087835473237603e-18,3.9922462618139056e-23,-4.027098253679784e-16,3.961646059045122e-16,6.002033471841598e-17,5.033574802221697e-17,1.5401984518812167e-17,-6.196478087756727e-20,3.509420275699217e-39,1.876188449046802e-16,-4.5623819915569344e-17,4.3243347447122335e-18,-2.0710754740156512e-16,-1.8742729272558324e-21,-1.1229042376208448e-16,-5.277757717320996e-20,-3.488583147604233e-20,-7.656223863573676e-17,-2.6881884181540656e-21,-3.1746847055574145e-16,7.663627379456722e-25,5.8737134030460074e-18,-5.043550644020918e-19,1.479674652903913e-23,-1.746303026141945e-16,-4.071698473967432e-20,1.663644170849196e-17
1.0,0.0015,1.2495159987961877,36.52496045119699,299.9999999999994,1.1768085990313188,5.493486390958394e-15,-7.029863635272392e-17,2.003457074248871e-21,3.393629434003363e-23,1.487149550003783e-20,9.191087320135315e-17,-8.582915289730167e-22,-6.271591315320116e-18,-2.2732410674055006e-17,-4.7814038300096227e-29,-1.7237641232725692e-16,-1.7794486990070065e-27,-9.263835314643598e-16,0.9999999999999947,-3.258661148322811e-20,2.217790882537424e-21,1.8189515861676697e-23,1.4766648146212868e-16,5.033429602366737e-28,7.222812350049466e-20,-3.486207768545451e-16,-3.5926468033870034e-22,-2.6465875362042947e-16,4.3138212793072967e-16,1.09705507084438e-15,1.4765739393754954e-19,-9.400913022862479e-18,3.9922466218127886e-23,-4.027098274491946e-16,3.9616460570391614e-16,6.002033549865089e-17,5.033574925875249e-17,1.5401984351273457e-17,-6.196476798766949e-20,3.5094149851245797e-39,1.8761884228649143e-16,-4.5623817097844275e-17,4.324335545336041e-18,-2.0710754914250186e-16,-1.874341289273151e-21,-1.1229042437721359e-16,-5.278143065292306e-20,-3.488583258090173e-20,-7.656223851067244e-17,-2.6881883992219094e-21,-3.1746846935763203e-16,7.663619556700737e-25,5.875144235959958e-18,-5.043384171528957e-19,1.6322070667027375e-23,-1.7463030330314657e-16,-4.0715149444630986e-20,1.663644170866312e-17
1.0,0.002,1.206903544940318,48.699947268267515,299.99999999999943,1.1768085990313188,5.308726818421755e-14,-7.051855538052135e-17,1.9139342096566922e-21,4.6603266559176775e-22,1.9488754742554355e-22,9.193914579292692e-17,-8.619136919722792e-22,-6.271589447180602e-18,-2.2732409388226768e-17,-6.190407917919117e-29,-1.717913590983258e-16,-3.2116725753411525e-33,-8.162242908309172e-16,0.9999999999999469,-2.956555355872986e-20,2.253646731656774e-21,1.8189807765148578e-23,1.4766648122442082e-16,5.543775956493621e-28,7.222190323279475e-20,-3.486207699647795e-16,-3.625015694464657e-22,-2.6465874723135822e-16,2.3222969746672647e-16,1.3037087747270737e-15,1.4765514450866032e-19,-1.202710400349981e-17,3.9922559186789044e-23,-4.02709829549549e-16,3.961646055107875e-16,6.002033631932783e-17,5.033575049043613e-17,1.5401984211973637e-17,-6.196437977225201e-20,3.509401762188544e-39,1.876188432264905e-16,-4.562381416757548e-17,4.32433633052401e-18,-2.071075508486877e-16,-1.8744113444317405e-21,-1.1229042499256971e-16,-5.2785353550078874e-20,-3.4885833703412667e-20,-7.656223838035656e-17,-2.6881883680047638e-21,-3.1746846814234024e-16,7.663611568644047e-25,5.917451336694611e-18,-5.038314493290848e-19,1.7884876318793862e-23,-1.7463030393422898e-16,-4.071326417479835e-20,1.6636441708818097e-17
1.0,0.0025,1.1521161042975525,60.87493408539712,299.9999999999998,1.1768085990313188,5.039044231873336e-13,-7.064321924356159e-17,1.8255437907231857e-21,1.2829261264740633e-20,3.5692240745625716e-24,9.229483804491147e-17,-8.653047234879887e-22,-6.2715873714070895e-18,-2.2732407996828825e-17,-6.218119304925979e-29,-1.711874616370402e-16,-4.691578389731064e-34,-7.580493244375843e-16,0.9999999999994961,5.849208974318145e-20,3.594711526816693e-21,1.819011366217201e-23,1.4766648163822935e-16,6.071529909345964e-28,7.221546269701875e-20,-3.4862076275026316e-16,-3.6584225479036714e-22,-2.646585659350245e-16,1.2304784016245737e-16,1.4170051305473825e-15,1.4765282609708333e-19,-1.2610542241577374e-17,3.992472594258908e-23,-4.0270983161325765e-16,3.9616460531782947e-16,6.00203372568906e-17,5.0335751770264635e-17,1.540198455292854e-17,-6.195298122686516e-20,3.50995122893764e-39,1.8761894997612022e-16,-4.56238109963644e-17,4.3243371380140625e-18,-2.07107552599824e-16,-1.874483907002325e-21,-1.1229042542418285e-16,-5.278955839623884e-20,-3.4885834869006076e-20,-7.656223816745898e-17,-2.688187834744277e-21,-3.174684666500282e-16,7.663603426805014e-25,7.139934716775254e-18,-4.887504941620845e-19,1.9503278297274943e-23,-1.7463030457265727e-16,-4.071130262963337e-20,1.663644170951618e-17
0.9999999999999991,0.003,1.0851536770879533,73.04992090329357,300.0000000000051,1.1768085990313188,4.64388400561539e-12,-7.009138811106553e-17,1.738464429058306e-21,3.562260087140907e-19,1.1016128841760164e-24,1.0215968183694636e-16,-8.586984557728834e-22,-6.2715813121780475e-18,-2.2732406479026326e-17,-6.247105707805681e-29,-1.7055675565173395e-16,-4.630720560700888e-34,-7.299177970697389e-16,0.999999999995356,2.5405748286277854e-18,5.2087928974231655e-20,1.8190783079206426e-23,1.4766650692450253e-16,6.642626931941681e-28,7.220875462796137e-20,-3.486207518207249e-16,-3.6933053539317627e-22,-2.6465223762387745e-16,6.379847317276642e-17,1.4784908081008714e-15,1.476504688518984e-19,-1.0919646458910733e-17,3.997464900664857e-23,-4.0270982898218013e-16,3.961646053332078e-16,6.002033837153567e-17,5.0335753257559714e-17,1.5401993842009408e-17,-6.162935072718409e-20,3.5146878232258575e-39,1.8762204801128171e-16,-4.5623804202278456e-17,4.3243380287003445e-18,-2.0710755437942045e-16,-1.87455995662746e-21,-1.122904171163777e-16,-5.279419706697427e-20,-3.488583610841046e-20,-7.656223510153251e-17,-2.68816906909969e-21,-3.1746845636487066e-16,7.663596353598387e-25,4.1301455513888396e-17,-5.491951419257846e-20,2.119942059467168e-23,-1.74630305228334e-16,-4.0709204824125754e-20,1.6636441734054867e-17
0.9999999999999767,0.0035,1.00601626499628,85.22490773028272,300.00000000012733,1.1768085990313188,4.112455878986644e-11,-6.530434899260466e-17,1.6715436283482683e-21,9.478148438347939e-18,1.0304999560313903e-24,3.639986938271814e-16,-5.809602851808933e-22,-6.271471019592778e-18,-2.2732404802710214e-17,-6.280555496121672e-29,-1.698891522762497e-16,-4.569239319035233e-34,-7.195556346020072e-16,0.999999999958874,6.943973475004169e-17,1.728213991590304e-18,1.8204080298103817e-23,1.4766743389790172e-16,7.465040390668114e-28,7.220312694378332e-20,-3.4862061652078086e-16,-3.730210766680129e-22,-2.644389800485685e-16,3.21436671818059e-17,1.5114097971777766e-15,1.4765016828586433e-19,-6.753778033580065e-18,4.107602145357648e-23,-4.027096294543698e-16,3.961646143454099e-16,6.002033970587634e-17,5.033575732526161e-17,1.5402161338519408e-17,-5.284319014932628e-20,3.343215652278927e-39,1.877058924444738e-16,-4.562368957845124e-17,4.324340550561455e-18,-2.071075546242111e-16,-1.8746406906810985e-21,-1.1229008236902417e-16,-5.279939461613951e-20,-3.4885837519770733e-20,-7.656213318425617e-17,-2.687517279295338e-21,-3.1746814269009995e-16,7.663636240875277e-25,9.541393379117273e-16,1.187817814607831e-17,2.3011164614289303e-23,-1.746303054162951e-16,-4.070651091446456e-20,1.6636442741339767e-17
0.9999999999994341,0.004,0.9147038797982032,97.39989465346318,300.0000000027412,1.1768085990313188,3.4602162233712917e-10,-3.5753442299473146e-17,1.98060996752681e-21,2.382388914995656e-16,1.223002207415568e-24,6.925240236494801e-15,6.520055202037874e-21,-6.268730701910763e-18,-2.273240283445941e-17,-6.334929551493638e-29,-1.6917116552696316e-16,-4.483995965168134e-34,-7.192762175386375e-16,0.999999999653945,1.7716500681118548e-15,5.639229102556336e-17,1.8644530684039932e-23,1.476991735002753e-16,1.2346443103155946e-27,7.224841041315209e-20,-3.486161882773276e-16,-3.7698023248661527e-22,-2.5765553387218464e-16,1.5600445262570673e-17,1.5308668989154706e-15,1.4772686347285464e-19,3.889227591123977e-19,6.402665056630738e-23,-4.0270183772682224e-16,3.961649711635734e-16,6.002034124653145e-17,5.0335802536039024e-17,1.5404968147347586e-17,1.7233684609096085e-19,1.0488526104714734e-39,1.8984606940821478e-16,-4.562040375026621e-17,4.3243949965641525e-18,-2.0710751202556365e-16,-1.874727648579608e-21,-1.122783308748446e-16,-5.280504720622539e-20,-3.4885839554212867e-20,-7.655879465821555e-17,-2.666136516699105e-21,-3.174578971484206e-16,7.665139144508486e-25,2.398164431273913e-14,3.217299857674858e-16,2.5414750997220627e-23,-1.746302833261963e-16,-4.069247097808772e-20,1.6636481850223176e-17
0.9999999999874742,0.0045000000000000005,0.8112165948917003,109.57488242456505,300.00000005385806,1.1768085990313188,2.730678437965774e-09,1.2895383738937237e-16,8.670342852715757e-21,5.5734378196389586e-15,5.399789068966194e-24,1.5982712177883204e-13,1.7304732096395826e-19,-6.204258332001513e-18,-2.273239913746835e-17,-6.496057952573888e-29,-1.6838379235476626e-16,-4.243026911694273e-34,-7.16506181365727e-16,0.9999999972685398,4.204893024594734e-14,1.7131438444411585e-15,3.2551148995237493e-23,1.4870869801046868e-16,1.241289600048876e-26,7.393299150904376e-20,-3.4847366427597464e-16,-3.812471978592891e-22,-5.712188433438933e-17,7.21084564860172e-18,1.6097905199473727e-15,1.5032788107609447e-19,2.078854477972317e-17,5.090738503304556e-22,-4.024225935913483e-16,3.961777688935845e-16,6.002034256947515e-17,5.033647548993527e-17,1.5448734003097976e-17,5.539012898456877e-18,2.138679106913972e-37,2.406456162334018e-16,-4.553030717806401e-17,4.3260312047254366e-18,-2.0710644866374198e-16,-1.8748272975590736e-21,-1.1189588818327597e-16,-5.2803462393138366e-20,-3.488584362147743e-20,-7.645702631134379e-17,-2.0143502612440784e-21,-3.1714561278152753e-16,7.708804477059459e-25,5.641959058854406e-13,7.803120997906698e-15,4.6475068445297415e-23,-1.7462934218268934e-16,-4.031737771081629e-20,1.6637891730880645e-17
