mixF,x (m),u (m/s),strain (1/s),T (K),density (kg/m^3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
1.0,0.0,1.3810271712061997,1.1138207628334855e-21,300.0,1.1768085990313188,6.330138808979469e-20,5.741585334181328e-51,3.0882562779349374e-30,0.23195746469599257,4.978655708530613e-30,1.2686859211102057e-30,1.6288264403188216e-33,7.192898523219912e-35,2.568586795514143e-60,1.8036162382003208e-90,-4.624220712660775e-62,2.3943186772259015e-65,2.1482818363810875e-43,2.922113496981533e-39,1.541432582132366e-33,1.0365884497960792e-36,3.6125031011826195e-74,2.6385760354387876e-46,6.066791981498827e-75,8.770111429338161e-61,1.8129330418217522e-46,9.987076404598247e-88,4.755537236386348e-48,3.369513409949428e-80,8.104009909389259e-49,2.790916780971643e-57,5.4725479298558664e-48,1.3713850715411982e-77,2.7942219485524248e-50,4.587131810130775e-53,7.139354436912647e-42,-4.53087872911821e-59,9.261781551256438e-36,6.691946959996948e-40,2.006285889251087e-59,1.1285332177773255e-35,3.6467982667468803e-38,2.5919413087128073e-41,1.6981778286588552e-39,2.1128654422094727e-71,1.3509006576840177e-42,1.0977900231465774e-45,-1.0925268669509528e-89,1.6753385766472255e-45,2.2679107547317563e-45,4.948162353957022e-43,9.061519028982988e-46,0.7542529753388488,0.01378955996515868,-1.2257380892925487e-66,2.355637310823649e-65,1.5311477405944296e-76,2.5882976559208248e-54
1.0,0.0005,1.374616532597602,12.821277217157705,299.99999999999557,1.1768085990313188,-3.5988767741486617e-16,3.5677076854250437e-16,-9.689914096269263e-20,2.1812791940280506e-18,-1.087370318692462e-15,-3.761781012130654e-17,-2.6730735158609645e-25,2.1210038415566292e-17,-5.097189210905158e-16,-1.3796649823096845e-15,-1.7337499713207711e-15,4.988944313327615e-15,2.884571813739024e-16,1.0000000000000029,8.150093201986363e-16,-1.638431610728228e-18,1.5321210130061703e-18,-8.286852191303421e-17,6.928681405953938e-29,5.0669344251955015e-20,-6.300345827083177e-16,1.195862033078159e-22,-7.053022893220279e-16,-4.204348308150229e-15,-1.218047973073508e-16,4.196782959492812e-19,1.4048325594872374e-18,3.5387113678602005e-23,-3.1972388212046693e-19,-7.946276852044452e-16,-1.8655739363448494e-15,1.8247487811342982e-16,-9.767783580109863e-17,-5.724532432394703e-20,-5.897334735008145e-41,-2.2381460596398608e-15,1.156492238140699e-16,-1.776697054092837e-15,2.53964025419769e-15,9.861278279001774e-21,1.4714681921792323e-15,1.7617082598235167e-19,-5.714437149078066e-25,7.523375373452147e-17,7.30153001498042e-20,-1.2122454402774962e-19,7.090076011127495e-25,7.924531798062416e-18,-2.7880493771103256e-17,-5.108798395288698e-22,-2.7671432368789897e-16,4.0519040507663416e-15,-2.7636118645800724e-16
1.0,0.001,1.3553846167718835,25.642554434315375,299.9999999999955,1.1768085990313188,-1.7330557595602315e-16,2.5858567147375923e-16,-9.294921231985935e-20,2.1812793085300323e-18,-1.5492422857221783e-17,-1.189398147504543e-15,-2.6786514952765303e-25,2.121003841986646e-17,-5.097189191832781e-16,-1.6361432250804816e-21,-1.7284046437627251e-15,8.38799757697913e-21,8.946957192288901e-15,1.0000000000000009,8.150093313206945e-16,-1.638431604517439e-18,1.5321078400166323e-18,-8.286852143420531e-17,3.5331880603425274e-27,5.066537684444337e-20,-6.300345788001703e-16,1.1895068185101987e-22,-7.053022975376916e-16,-2.360989976886566e-15,-5.084918349181928e-15,4.196765848912854e-19,5.573213254374123e-17,3.5280485576115113e-23,-3.197259564434414e-19,-7.946276857149516e-16,-1.865573939470703e-15,1.8247487899065414e-16,-9.76778356332376e-17,-5.724532429007495e-20,-1.8961874366902604e-39,-2.2381460627933417e-15,1.156492231031605e-16,-1.7766970528449176e-15,2.5396402571002407e-15,9.861100521892994e-21,1.4714681959818985e-15,1.7618560512817347e-19,-5.720934532419015e-25,7.52337539366067e-17,7.301530016738695e-20,-1.2122325585612462e-19,7.089931267171503e-25,7.92454360068573e-18,-2.78804936330323e-17,-5.093014679748802e-22,-2.767143236891038e-16,4.051904054412783e-15,-2.763611857863395e-16
1.0,0.0015,1.3233314237291711,38.4638316514731,299.9999999999957,1.1768085990313188,1.7348420935527753e-15,2.570277605601921e-16,-8.91072354207731e-20,2.181282999435597e-18,-2.178784858298702e-19,-1.2058187396442693e-15,-2.6817386633110143e-25,2.121003842374175e-17,-5.097189174430127e-16,-1.9444094251047814e-27,-1.7229985338063971e-15,1.3912080764958223e-26,8.29239644301282e-15,0.9999999999999996,8.150093655646082e-16,-1.638431410686349e-18,1.532094488604994e-18,-8.286852102427354e-17,3.5727308607134076e-27,5.066135252045751e-20,-6.300345749295127e-16,1.1830798588971013e-22,-7.053023048330496e-16,-1.3177352203208803e-15,-6.1674260652757195e-15,4.1967484883934833e-19,1.1204694473226458e-16,3.517348058471128e-23,-3.1972804520594316e-19,-7.94627686193603e-16,-1.865573942033323e-15,1.8247487985242172e-16,-9.767783547024922e-17,-5.724532153623882e-20,-1.8962709333660678e-39,-2.2381460658135217e-15,1.1564922239624853e-16,-1.776697051697098e-15,2.539640259791525e-15,9.8609201834724e-21,1.4714681994637818e-15,1.7619897586214634e-19,-5.7274787843324435e-25,7.52337541384864e-17,7.30153001839017e-20,-1.2122195311304496e-19,7.089791597252459e-25,7.924879889767234e-18,-2.788048976982433e-17,-5.077002912267682e-22,-2.7671432369020964e-16,4.051904058157379e-15,-2.763611851746035e-16
1.0,0.002,1.278456953470878,51.28510886863257,299.999999999996,1.1768085990313188,2.1161607984698168e-14,2.55449782023067e-16,-8.533704537409281e-20,2.1813977707978514e-18,-3.047768145576401e-21,-1.2060508887533877e-15,-2.6500544777441587e-25,2.1210038428525524e-17,-5.097189157889259e-16,-2.9565023587044175e-29,-1.7174770132328094e-15,2.2931791615875158e-32,7.901339260561204e-15,0.9999999999999805,8.150101224916457e-16,-1.6384236199698476e-18,1.5320808244365682e-18,-8.286852065520911e-17,3.5631831385153595e-27,5.065722993728619e-20,-6.300345709270066e-16,1.1765162902120134e-22,-7.053023109128472e-16,-7.277883895997397e-16,-6.779574329777377e-15,4.196730611671447e-19,1.6934166971779152e-16,3.506508883166102e-23,-3.197301661331043e-19,-7.946276866271878e-16,-1.8655739447777843e-15,1.8247488069780924e-16,-9.767783530582695e-17,-5.724523251642914e-20,-1.896332368164952e-39,-2.2381460677813273e-15,1.1564922169132785e-16,-1.7766970506923947e-15,2.539640262184481e-15,9.860735407748375e-21,1.4714682027496123e-15,1.762120454948731e-19,-5.734131695039715e-25,7.523375434142955e-17,7.301530020159882e-20,-1.2122062134359438e-19,7.089648610474352e-25,7.935354309916297e-18,-2.7880366040016954e-17,-5.060598756025522e-22,-2.767143236911555e-16,4.051904062065054e-15,-2.763611846384199e-16
1.0,0.0025,1.2207612060099806,64.10638608581962,299.9999999999964,1.1768085990313188,2.1488186458907208e-13,2.53884757979362e-16,-8.160340269594843e-20,2.1848826433668197e-18,-9.081708107440295e-23,-1.2059652099277106e-15,-1.5545930627537843e-25,2.1210038472568753e-17,-5.097189141183136e-16,-2.919154180215477e-29,-1.7117778987447456e-15,3.7126186964633852e-34,7.652897596109265e-15,0.999999999999787,8.150331184670918e-16,-1.6381155307337797e-18,1.5320666923648179e-18,-8.286852012271399e-17,3.552792986317143e-27,5.065296184762678e-20,-6.300345667571526e-16,1.1697423320531609e-22,-7.053022770518061e-16,-3.958388469512049e-16,-7.124021873512688e-15,4.1967119301777945e-19,2.2695265499711907e-16,3.495475126966387e-23,-3.197323163864662e-19,-7.946276870664824e-16,-1.865573947713579e-15,1.824748815689896e-16,-9.767783497058693e-17,-5.724246834847765e-20,-1.896168149325063e-39,-2.238146043238242e-15,1.1564922099350218e-16,-1.7766970496744257e-15,2.53964026461853e-15,9.860544053615499e-21,1.4714682061813844e-15,1.7622562633020234e-19,-5.740965314427116e-25,7.523375456800508e-17,7.301530033067951e-20,-1.2121919370052337e-19,7.089500439958106e-25,8.255243593344155e-18,-2.787647584192902e-17,-5.043613225834892e-22,-2.767143236920067e-16,4.051904066079187e-15,-2.7636118409534003e-16
0.9999999999999998,0.003,1.1502441814591033,76.92766330338806,299.9999999999981,1.1768085990313188,2.087837782815116e-12,2.526520269468399e-16,-7.786957764244615e-20,2.287223940815694e-18,-4.913916404680209e-23,-1.2032385563991052e-15,3.090554462683233e-24,2.1210039677714356e-17,-5.097189123732612e-16,-2.883663863414694e-29,-1.7058265332678656e-15,3.5928799988512538e-34,7.487325903851424e-15,0.9999999999979141,8.15718046358658e-16,-1.626332777134065e-18,1.5320519117129305e-18,-8.286851324191912e-17,3.543638599054775e-27,5.064850148811937e-20,-6.300345615544129e-16,1.162669388034311e-22,-7.053007585595058e-16,-2.1082917075310454e-16,-7.316001439926784e-15,4.1966921550511727e-19,2.8339586031175387e-16,3.485502417797798e-23,-3.1973339830685654e-19,-7.94627687475344e-16,-1.8655739510343372e-15,1.8247488253806865e-16,-9.767783137691724e-17,-5.715949634752196e-20,-1.88934860850086e-39,-2.238145225136691e-15,1.156492211450611e-16,-1.776697048593871e-15,2.5396402671596782e-15,9.86034350277284e-21,1.4714682118119288e-15,1.7624030348411672e-19,-5.748064933155382e-25,7.52337554800588e-17,7.30153047328265e-20,-1.212156585882233e-19,7.089341973711403e-25,1.7705316472293356e-17,-2.7758163744768815e-17,-5.025817242842174e-22,-2.7671432368989346e-16,4.05190407020985e-15,-2.7636118352113923e-16
0.999999999999993,0.0035,1.0669058807274607,89.7489405257208,300.0000000000375,1.1768085990313188,1.9463685721214528e-11,2.5390492379395153e-16,-7.408794082707236e-20,5.161692905892494e-18,-4.62753985978366e-23,-1.1266005850446512e-15,9.472608767145876e-23,2.1210073755736408e-17,-5.097189104776136e-16,-2.8661267121071506e-29,-1.6995284592437878e-15,9.279244578977896e-35,7.423390997155595e-15,0.9999999999805379,8.352375817356366e-16,-1.1955088811478438e-18,1.5320362993184787e-18,-8.286826361245049e-17,3.548244258347991e-27,5.0644187467894356e-20,-6.300345236983661e-16,1.155184481208143e-22,-7.052463622975172e-16,-1.0922161813865284e-16,-7.421422771266252e-15,4.1966717418561345e-19,2.8339830351116777e-16,3.5086580931158196e-23,-3.19685163083021e-19,-7.946276857878633e-16,-1.8655739544035148e-15,1.8247488468361806e-16,-9.76777671205932e-17,-5.477763219378185e-20,-1.6938366304155572e-39,-2.2381217522260817e-15,1.1564925038357953e-16,-1.776697046989121e-15,2.5396402701276577e-15,9.86013013780615e-21,1.471468295205789e-15,1.762558726437238e-19,-5.755537081861084e-25,7.523378125366213e-17,7.301546608258426e-20,-1.2113684954998174e-19,7.089083693872485e-25,2.8470524943946617e-16,-2.4316983264767966e-17,-5.006897197098882e-22,-2.767143235638083e-16,4.0519040743669615e-15,-2.7636118264152776e-16
0.9999999999998178,0.004,0.970746310519788,102.57021780108744,300.0000000009274,1.1768085990313188,1.7235564158866437e-10,2.7081079876365697e-16,-7.00659781456221e-20,8.139952767715562e-17,-4.3756846993684394e-23,9.04520952509879e-16,2.537139455703122e-21,2.1210986241726314e-17,-5.097189075228784e-16,-2.967785464394454e-29,-1.6927576300808921e-15,1.066106721561101e-34,7.385510620413314e-15,0.9999999998276361,1.3605209096616216e-15,1.3672051436984436e-17,1.5320200046316465e-18,-8.285923591253602e-17,3.7241886710245236e-27,5.0654848650785605e-20,-6.300332985155202e-16,1.1471276088024393e-22,-7.034153030990842e-16,-5.4573138274550544e-17,-7.477505810538443e-15,4.1968574761780126e-19,2.834896765612465e-16,4.270960478878425e-23,-3.176243101740447e-19,-7.946275978145359e-16,-1.8655739568143195e-15,1.8247490662122851e-16,-9.767663393166852e-17,9.785870897652277e-21,3.883658696915244e-39,-2.23748800567845e-15,1.15650188653278e-16,-1.776697030844875e-15,2.5396402850088916e-15,9.85989589081075e-21,1.471471249887163e-15,1.7627288494581583e-19,-5.763522249774559e-25,7.523466822154397e-17,7.302106633414272e-20,-1.184522631541952e-19,7.086486442139672e-25,7.408113920521389e-15,7.018905842958076e-17,-4.98539853673735e-22,-2.767143178346118e-16,4.0519040795767346e-15,-2.7636117087204886e-16
0.9999999999957326,0.0045000000000000005,0.8617655149578723,115.39149556790109,300.0000000193396,1.1768085990313188,1.4312744279055663e-09,3.779283068171981e-16,-6.31641011840335e-20,1.9624338724949417e-15,-3.9441444191729527e-23,5.097938981148202e-14,6.309634586060105e-20,2.1233717267665695e-17,-5.097188911520268e-16,-3.761422562693378e-29,-1.6853367920015843e-15,1.8282507826753987e-34,7.366248587117832e-15,0.9999999985684723,1.4510130477382605e-14,4.906492426403745e-16,1.5320086762669276e-18,-8.255528247822681e-17,7.518954847736875e-27,5.118274895374704e-20,-6.299916428577344e-16,1.1381931539796986e-22,-6.461194680816043e-16,-2.601021433639095e-17,-7.48671880978914e-15,4.2042527473595385e-19,2.8667914351733466e-16,2.0150170184104077e-22,-2.393777582016329e-19,-7.946242446023519e-16,-1.8655739484498837e-15,1.8247524883302769e-16,-9.765796903568038e-17,1.6377417883490826e-18,1.9899433597602173e-37,-2.2215731751575716e-15,1.156774763090841e-16,-1.7766965600422503e-15,2.5396406258720955e-15,9.859588222666548e-21,1.471572915288818e-15,1.7629418978746583e-19,-5.772215106687997e-25,7.526328292928208e-17,7.32017826143068e-20,-3.187331658102194e-20,7.030609966145758e-25,1.8420324790671626e-13,2.4844335498422126e-15,-4.91446734005151e-22,-2.7671406916826245e-16,4.051904170826213e-15,-2.763607480883296e-16
