z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,1.5344746346735534,-9.605089256075237e-20,300.0,0.6516888434670943,-5.478137349126518e-16,8.53404703521946e-16,-2.0621235173925896e-18,-1.3522962312840523e-19,2.469270144572992e-16,7.235582958470474e-18,-1.1481379051842192e-25,-6.666912257238251e-18,-1.1385319208302603e-16,-6.229727816417737e-16,-1.4632553357379603e-17,1.2836163743986791e-15,7.946855619082446e-17,1.0000000000000016,4.712554761812722e-16,4.892405070714049e-19,1.516869905992882e-19,-1.330278100955216e-16,1.0439970526303253e-28,-5.99717282912458e-19,-1.0000286459159863e-15,-2.53843780977406e-22,-7.942012140437751e-16,-3.99090524036043e-16,-1.7769799427716964e-17,2.4028591318026576e-19,-4.9983078162805195e-20,3.662338248578572e-18,-1.2827694406076577e-21,1.3474623724741952e-16,-7.577921217591521e-16,4.041599063982585e-18,-3.048556679304231e-17,8.295098440902748e-19,4.420677488771198e-41,-4.102335478250041e-16,3.696869693610364e-18,-3.524561133984775e-17,6.655727645985521e-17,1.806941971749355e-20,2.7739846695811923e-16,8.051115448156093e-20,-3.7071009520750596e-30,-3.8723456735933785e-17,2.327243157313165e-20,3.152789363473877e-20,-7.962608244426219e-25,-1.6483952621272844e-16,-5.680100009991245e-18,-2.8533973021522554e-21,1.980577131296282e-16,-3.480009747573015e-16,2.0325826501197662e-16
0.0005,1.5274213732648774,14.106522817332186,299.99999999999807,0.6516888434670984,-3.30975767193555e-16,2.842733000647477e-16,-1.989499866964124e-18,-1.352314797791097e-19,3.884783867771306e-18,2.533897364628074e-16,-1.147395783524949e-25,-6.6794503868238755e-18,-1.1385318985480478e-16,-8.168955460824771e-22,-1.459194207912197e-17,2.390163077194637e-21,2.7298850144908388e-15,1.0000000000000004,4.712534335569863e-16,4.892405071858163e-19,1.516850233248272e-19,-1.3302781048537716e-16,-8.37462558696835e-27,-5.996750348832669e-19,-1.000028688731533e-15,-2.538591385512735e-22,-7.942022356871479e-16,-2.3423157815910603e-16,-8.202901567697636e-16,2.4028595104443616e-19,-4.9981133141625847e-20,3.664382518660848e-18,-1.2833786173060279e-21,1.3474623730358042e-16,-7.577921301714563e-16,4.0415984496312706e-18,-3.048556626214192e-17,8.295098425402738e-19,1.5744142510268136e-39,-4.1023354748147376e-16,3.696869704981684e-18,-3.52456112619145e-17,6.655727668097705e-17,1.8069380650347353e-20,2.773984684828567e-16,8.051964267651771e-20,-3.726655510094856e-30,-3.872345671090977e-17,2.3272431592983e-20,3.152789748969786e-20,-7.962580165517935e-25,-1.6483952624950375e-16,-5.680100005453018e-18,-2.8533972375118914e-21,1.9805771311205132e-16,-3.4800097356689494e-16,2.0325826508279614e-16
0.001,1.5062615890388817,28.213045634665253,299.99999999999795,0.6516888434670972,2.128172253441462e-15,2.839467894439949e-16,-1.9152357100920775e-18,-1.3523316396676824e-19,5.922914384176245e-20,2.571918371210384e-16,-1.1473759190662147e-25,-6.679647865851082e-18,-1.1385318637735756e-16,-1.057036019967235e-27,-1.4550863391076653e-17,4.390809852654771e-27,2.6366083392676085e-15,0.9999999999999981,4.71251319283755e-16,4.892405106800144e-19,1.5168304064492278e-19,-1.330278109745599e-16,-9.063818055247535e-27,-5.996321869739382e-19,-1.0000287324578936e-15,-2.5387466930799957e-22,-7.942032967639335e-16,-1.3668779814497626e-16,-9.1786298473517e-16,2.402860085958826e-19,-4.997554899716976e-20,3.6664994919904725e-18,-1.2839902556557736e-21,1.3474623733860893e-16,-7.577921371142294e-16,4.04159773485017e-18,-3.0485565672060934e-17,8.295098408625317e-19,1.574373307639081e-39,-4.102335470940166e-16,3.696869716425809e-18,-3.5245611185167424e-17,6.65572769312034e-17,1.8069341025133594e-20,2.773984698755573e-16,8.052703670067692e-20,-3.726781099196546e-30,-3.872345668023036e-17,2.3272431617153353e-20,3.1527901384485205e-20,-7.962553626864304e-25,-1.6483951457855273e-16,-5.6800999085167695e-18,-2.8533971745579232e-21,1.9805771308887705e-16,-3.480009724233882e-16,2.0325826517262613e-16
0.0015,1.470995281995585,42.319568451999835,299.99999999999795,0.6516888434670816,2.9699341674870486e-14,2.836513581535448e-16,-1.8420162299883904e-18,-1.3523032306623604e-19,-1.6558964641025628e-22,2.571790099548863e-16,-1.1459339877751379e-25,-6.6796510671945125e-18,-1.138531820413978e-16,-3.7296842636915165e-32,-1.4508906167625108e-17,2.5855534694539217e-32,2.5792501226474786e-15,0.9999999999999706,4.712491371683587e-16,4.892406659335934e-19,1.5168101312163216e-19,-1.3302781147976532e-16,-9.642097483012673e-27,-5.995883039488058e-19,-1.000028777249042e-15,-2.5389053069292863e-22,-7.942044079537056e-16,-7.898592788129721e-17,-9.755820427413674e-16,2.402860788374813e-19,-4.9966487677917905e-20,3.668713393950925e-18,-1.2846139865382435e-21,1.3474623737308082e-16,-7.577921433192477e-16,4.04159699913522e-18,-3.048556506545251e-17,8.295098440105754e-19,1.574318504167159e-39,-4.102335466664006e-16,3.696869728136727e-18,-3.52456111066458e-17,6.655727718824273e-17,1.8069300436713206e-20,2.7739847117981545e-16,8.053382783594593e-20,-3.7268615316393514e-30,-3.8723456648594033e-17,2.3272431642114744e-20,3.152790538473478e-20,-7.962526486862785e-25,-1.6483909631974736e-16,-5.6800965301895e-18,-2.8533971097910925e-21,1.980577130645608e-16,-3.4800097125873906e-16,2.0325826526534105e-16
0.002,1.4216224521352998,56.42609126933693,299.9999999999979,0.6516888434669094,3.3225998348883565e-13,2.836358310703159e-16,-1.7692146019357627e-18,-1.3507623648607073e-19,-1.026017497185891e-21,2.571135036023312e-16,-1.096041357257443e-25,-6.679651245516428e-18,-1.138531770302867e-16,-3.5820597013791335e-32,-1.4465602726509928e-17,1.8103250796565747e-32,2.545482906949622e-15,0.999999999999668,4.712478124504206e-16,4.892474728356806e-19,1.516789177001423e-19,-1.3302781193547754e-16,-1.023713907658078e-26,-5.9954288648757405e-19,-1.0000288234917248e-15,-2.539068989227658e-22,-7.942055817305128e-16,-4.499159034423762e-17,-1.009586979104091e-15,2.4028615809446407e-19,-4.9954196233383073e-20,3.671053760362768e-18,-1.285256485320806e-21,1.347462374238452e-16,-7.577921492666157e-16,4.041596300583154e-18,-3.0485564453880625e-17,8.2951001490036765e-19,1.574278534792746e-39,-4.1023354524271265e-16,3.696869740871374e-18,-3.5245611023669854e-17,6.655727743688296e-17,1.806925841990652e-20,2.773984724182618e-16,8.054032117267137e-20,-3.726910806895429e-30,-3.8723456619335466e-17,2.3272431667306182e-20,3.1527910623658186e-20,-7.9624984019319145e-25,-1.6482492814324602e-16,-5.679978898667008e-18,-2.8533970425596147e-21,1.980577130425618e-16,-3.48000970022415e-16,2.0325826534847096e-16
0.0025,1.3581430994612116,70.53261408668335,299.9999999999979,0.651688843465075,3.5512477348414837e-12,2.857517988580501e-16,-1.696118796593162e-18,-1.3000542226887837e-19,-9.9636246212437e-22,2.5724892808793205e-16,5.380901104478358e-26,-6.6796513244425305e-18,-1.1385317150783025e-16,-3.5755152431678484e-32,-1.4420392316943174e-17,1.828651411969724e-32,2.525822190866628e-15,0.9999999999964491,4.712787711536237e-16,4.895361899715278e-19,1.5167672665464902e-19,-1.3302781215022932e-16,-1.0858063947594671e-26,-5.994953311472329e-19,-1.000028871852759e-15,-2.539239799342366e-22,-7.942067774801196e-16,-2.512973414275055e-17,-1.0294554141438435e-15,2.402862455327262e-19,-4.9936674830689704e-20,3.6735581096139846e-18,-1.2858988617074472e-21,1.3474623748047508e-16,-7.577921550694058e-16,4.041595594365787e-18,-3.0485563362388363e-17,8.295157564796001e-19,1.574418102491606e-39,-4.102335104928835e-16,3.696869776794557e-18,-3.524561093602278e-17,6.655727769404221e-17,1.8069214405950127e-20,2.773984737129749e-16,8.054672739538977e-20,-3.7269582742220486e-30,-3.8723456573362883e-17,2.327243179170137e-20,3.152796351362046e-20,-7.962469009972901e-25,-1.6436107676717677e-16,-5.676013991455919e-18,-2.8533969710915925e-21,1.98057713019611e-16,-3.48000968723416e-16,2.0325826543215177e-16
0.003,1.2805572240038143,84.63913690413186,299.99999999999807,0.6516888434463499,3.641306986085101e-11,3.030152739230074e-16,-1.6219317367204347e-18,2.7930400071180904e-20,-9.529613657735844e-22,2.636621414643051e-16,5.1672793451242275e-24,-6.6796496982813256e-18,-1.138531655035379e-16,-3.624573507338819e-32,-1.4372566946345548e-17,1.8608933317262914e-32,2.5145908975274503e-15,0.9999999999635871,4.723331906449373e-16,5.012483559941144e-19,1.5167440319483452e-19,-1.3302780181705912e-16,-1.1514519096179238e-26,-5.994448533869923e-19,-1.0000289218841089e-15,-2.5394198359426704e-22,-7.942056895364669e-16,-1.367613029540619e-17,-1.0409123703985875e-15,2.402863631448674e-19,-4.9825696098745585e-20,3.676276141320698e-18,-1.2852408286187053e-21,1.3474623758561005e-16,-7.577921608324421e-16,4.041595107885624e-18,-3.0485552727329785e-17,8.296985371207753e-19,1.7197631426006866e-39,-4.102324213957989e-16,3.696870643939089e-18,-3.5245610831111125e-17,6.655727799087291e-17,1.8069167577625007e-20,2.773984779569777e-16,8.055320968218289e-20,-3.727103286962136e-30,-3.872345586831418e-17,2.3272435946666802e-20,3.152995172779603e-20,-7.962438446628571e-25,-1.4983286276811983e-16,-5.548160396935602e-18,-2.8533968431352275e-21,1.9805771299182216e-16,-3.4800096733361317e-16,2.0325826552181974e-16
0.0035,1.188864826034785,98.7456597229374,300.0000000000025,0.6516888432650355,3.546036507835031e-10,4.2189833375539543e-16,-1.5456781257573969e-18,4.673487611345345e-18,-9.08161152387969e-22,4.542538780783591e-16,1.5632103584299672e-22,-6.679597476795894e-18,-1.1385315890919525e-16,-4.0496299928867745e-32,-1.4321184580134974e-17,1.9819549484625852e-32,2.508573072240252e-15,0.9999999996453957,5.038815439947e-16,9.498940883026165e-19,1.5167189047384633e-19,-1.3302736699948296e-16,-1.2216005632707715e-26,-5.993896709399343e-19,-1.00002892477371e-15,-2.539606757730784e-22,-7.941155709896136e-16,-7.19449734443567e-18,-1.0473662662571374e-15,2.402874209896124e-19,-4.596998038786141e-20,3.679276998855484e-18,-1.2240183237224406e-21,1.3474623992291193e-16,-7.577921663951027e-16,4.041599649345789e-18,-3.048535651955459e-17,8.351936937445544e-19,1.747478202535005e-39,-4.1019982551720844e-16,3.69690026219201e-18,-3.5245610294551906e-17,6.655727904815048e-17,1.8069115887454977e-20,2.7739860272438225e-16,8.055991704704027e-20,-3.72979713956643e-30,-3.872342990723717e-17,2.3272595146075754e-20,3.160639070029162e-20,-7.962420061703186e-25,2.800382022661281e-16,-1.6535701227745817e-18,-2.8533939989202735e-21,1.9805771304434294e-16,-3.4800096563311965e-16,2.032582659053641e-16
0.004,1.0830659077670495,112.85218255830013,300.0000000001144,0.6516888416220001,3.2377195104636496e-09,1.178548855824721e-15,-1.4656481786860588e-18,1.318658640024258e-16,-8.611397082318438e-22,5.670397949765491e-15,4.31529908830792e-21,-6.6781501269671675e-18,-1.138531509251985e-16,-6.83012397692229e-32,-1.4264924375124973e-17,2.655547003782271e-32,2.5072678212707932e-15,0.9999999967622611,1.3803948754523074e-15,1.6937259019768454e-17,1.5166921729854973e-19,-1.3301108445059382e-16,-1.2827318543572718e-26,-5.992999624399711e-19,-1.0000270066013558e-15,-2.539748714528992e-22,-7.909330031954386e-16,-3.6205653659439365e-18,-1.0498473793404416e-15,2.4032431761558204e-19,1.0268785372101783e-19,3.682667948691845e-18,1.387955525255211e-21,1.3474633753225718e-16,-7.577921691742245e-16,4.041695194410637e-18,-3.0481789087590556e-17,9.889637037732547e-19,4.22791306676789e-39,-4.092914419188435e-16,3.69785529643927e-18,-3.524559482770156e-17,6.65573008144985e-17,1.8069047420078093e-20,2.774033324469248e-16,8.056710170308708e-20,-3.7904091938675625e-30,-3.872250090510121e-17,2.327830075249549e-20,3.434608200488718e-20,-7.962622046343224e-25,1.211939830760067e-14,1.087650503286964e-16,-2.8532599142389222e-21,1.9805771944239525e-16,-3.480009594537279e-16,2.03258280553708e-16
0.0045000000000000005,0.9631604853085446,126.9587055621078,300.00000000268506,0.6516888279097068,2.7293323389761663e-08,5.623171472547993e-15,-1.371325097291163e-18,3.315721150583849e-15,-8.057209243375347e-22,1.3613863122992603e-13,1.0893529818728905e-19,-6.641567654209187e-18,-1.138531330946396e-16,-1.7935904053724857e-31,-1.4201955085717898e-17,6.521471506981165e-32,2.522135871259024e-15,0.999999972706195,2.364162789667008e-14,5.373663105383711e-16,1.5167254775446125e-19,-1.324547747328944e-16,-7.956502796480393e-27,-5.982054900066853e-19,-9.999586085850762e-16,-2.539385218780821e-22,-6.89835379078521e-16,-1.7167079726314857e-18,-1.0156859787029958e-15,2.416196301489737e-19,5.367670558110584e-18,3.686745156551668e-18,1.0195172488528203e-19,1.3475010545637425e-16,-7.577921453037721e-16,4.043281273362534e-18,-3.042219388746441e-17,4.922641592439952e-18,3.074400552893836e-37,-3.861481884678991e-16,3.726006313070214e-18,-3.524509320391547e-17,6.6557848378069e-17,1.806887149939655e-20,2.7756864827051943e-16,8.057847306899562e-20,-5.050070986039091e-30,-3.8692086916334235e-17,2.3465120015158906e-20,1.2405146865680801e-19,-7.961790610305363e-25,3.1023058935490725e-13,2.9705634065241152e-15,-2.8473270027939164e-21,1.9805802649914423e-16,-3.4800082135190094e-16,2.0325886326604942e-16
