N,T,Y_C2H4
24061,300.00027,1.5638884e-07
24062,300.00018,1.06855055e-07
24063,300.00012,7.232237e-08
24064,300.0001,4.847575e-08
24065,300.00006,3.216828e-08
24066,300.00006,2.1127198e-08
24067,300.00003,1.3727412e-08
24068,300.00003,8.81876e-09
24069,300.00003,5.595679e-09
24070,300.0,3.499895e-09
24071,300.0,2.2004014e-09
24072,300.0,1.4075541e-09
24073,300.0,8.552447e-10
24074,300.0,5.138225e-10
24075,300.00003,3.0523337e-10
24076,300.00003,1.7928384e-10
24077,300.00003,1.0411623e-10
24078,300.00003,5.976741e-11
24079,300.00003,3.3879444e-11
24080,300.00006,1.8964375e-11
24081,300.00006,1.0615562e-11
24082,300.0001,6.0207585e-12
24083,300.00012,3.301128e-12
24084,300.00015,1.8592764e-12
24085,300.00018,1.0376896e-12
24086,300.0002,5.749106e-13
24087,300.00027,3.167156e-13
24088,300.0003,1.7834048e-13
24089,300.00037,9.788812e-14
24090,300.00043,5.6538575e-14
24091,300.00052,3.4862216e-14
24092,300.00058,2.6976465e-14
24093,300.00067,2.7187352e-14
24094,300.00073,3.4457836e-14
24095,300.00082,4.843389e-14
24096,300.0009,7.3135095e-14
24097,300.00095,1.0974709e-13
24098,300.001,1.5922786e-13
24099,300.00107,2.3242947e-13
24100,308.95792,0.0356341
24101,308.26636,0.032406293
24102,307.6082,0.029387012
24103,306.98438,0.026574107
24104,306.39536,0.023963632
24105,305.8413,0.021550115
24106,305.32202,0.019326814
24107,304.83698,0.017285962
24108,304.38547,0.015419003
24109,303.96652,0.013716813
24110,303.57907,0.012169891
24111,303.2218,0.010768533
24112,302.89337,0.009502988
24113,302.5923,0.008363581
24114,302.31708,0.0073408275
24115,302.06622,0.006425512
24116,301.83817,0.0056087645
24117,301.6314,0.00488211
24118,301.44443,0.004237505
24119,301.2758,0.003667365
24120,301.12408,0.0031645768
24121,300.98795,0.0027225045
24122,300.8661,0.0023349875
24123,300.75732,0.0019963316
24124,300.66046,0.0017012957
24125,300.57446,0.0014450764
24126,300.49826,0.0012232866
24127,300.43097,0.001031936
24128,300.3717,0.0008674073
24129,300.3196,0.0007264335
24130,300.274,0.0006060747
24131,300.23416,0.0005036944
24132,300.19946,0.0004169367
24133,300.16934,0.00034370428
24134,300.14328,0.00028213678
24135,300.12082,0.0002305902
24136,300.1015,0.00018761748
24137,300.08493,0.00015194986
24138,300.0708,0.00012247957
24139,300.0588,9.8243414e-05
24140,300.0486,7.8407626e-05
24141,300.04004,6.225372e-05
24142,300.03284,4.916542e-05
24143,300.0268,3.8616734e-05
24144,300.02176,3.016094e-05
24145,300.0176,2.342061e-05
24146,300.01416,1.8078581e-05
24147,300.01132,1.3869807e-05
24148,300.009,1.05740555e-05
24149,300.00714,8.009426e-06
24150,300.0056,6.0265847e-06
24151,300.0044,4.503714e-06
